,batch,epoch,learning_rate,mse,correlation,pvalue
0,1,1,0.1,,,
1,1,1,0.01,0.04396527633070946,0.2567498340271887,1.3642298000592594e-62
2,1,1,0.001,0.04464087635278702,0.16360205427699195,6.153012677946422e-26
3,1,1,0.0001,0.04732692241668701,0.2619585277859764,3.58296139662243e-65
4,1,3,0.1,,,
5,1,3,0.01,0.044600531458854675,0.21105243086124345,2.0466153717509973e-42
6,1,3,0.001,0.04407341033220291,0.23226329840425397,3.077290123926048e-51
7,1,3,0.0001,0.04677977040410042,0.14334008797431766,3.1721178218468063e-20
8,1,5,0.1,,,
9,1,5,0.01,0.04469135403633118,0.2150224662186488,5.366333481772926e-44
10,1,5,0.001,0.04420876130461693,0.2287241719021239,1.0584965717616046e-49
11,1,5,0.0001,0.0463331937789917,0.15666423385948314,6.798511784099632e-24
12,1,7,0.1,,,
13,1,7,0.01,0.04821588471531868,0.14959072383295238,6.634059833146584e-22
14,1,7,0.001,0.04409519582986832,0.23320940928283232,1.183033799391646e-51
15,1,7,0.0001,0.04570910334587097,0.12398707450681332,1.7395441683321894e-15
16,1,9,0.1,,,
17,1,9,0.01,0.047160375863313675,0.06842816148461224,1.18393144713961e-05
18,1,9,0.001,0.04412860423326492,0.25642121717056543,1.975729325340134e-62
19,1,9,0.0001,0.04471036419272423,0.18326884936252774,3.1250035807673255e-32
20,32,1,0.1,,,
21,32,1,0.01,0.04687495529651642,0.09128841651194985,4.935755878763637e-09
22,32,1,0.001,0.05377352610230446,-0.04477585835837003,0.004177120004857639
23,32,1,0.0001,0.053317487239837646,0.11566966947420405,1.1624056017048917e-13
24,32,3,0.1,,,
25,32,3,0.01,0.045889366418123245,0.14341186841993395,3.03722576969361e-20
26,32,3,0.001,0.04958481341600418,0.14273088283678328,4.582805692275505e-20
27,32,3,0.0001,0.061115846037864685,0.05098719747052149,0.0011050679809431897
28,32,5,0.1,,,
29,32,5,0.01,0.044203925877809525,0.19438484261589917,4.0197977974587e-36
30,32,5,0.001,0.047130364924669266,0.13683991626060735,1.4808330717925725e-18
31,32,5,0.0001,0.05264006555080414,-0.04887421350906976,0.0017662797478940958
32,32,7,0.1,,,
33,32,7,0.01,0.04431252181529999,0.21076113273804245,2.6656909574772142e-42
34,32,7,0.001,0.04810911789536476,0.12653079119498198,4.539737062464814e-16
35,32,7,0.0001,0.05226702615618706,0.16103822390578323,3.5880427231903356e-25
36,32,9,0.1,,,
37,32,9,0.01,0.044165804982185364,0.21814942538844434,2.894561891734881e-45
38,32,9,0.001,0.046801067888736725,0.16060633399558347,4.815289936993776e-25
39,32,9,0.0001,0.05091671645641327,0.1299939087084905,6.976401085995568e-17
40,64,1,0.1,,,
41,64,1,0.01,0.048523303121328354,0.030469864554846866,0.05132676702673037
42,64,1,0.001,0.06356063485145569,-0.2226117947688305,4.143154805322654e-47
43,64,1,0.0001,0.059397369623184204,0.16785086105069127,3.107356952494624e-27
44,64,3,0.1,,,
45,64,3,0.01,0.046237070113420486,0.26149018224282083,6.147489728237166e-65
46,64,3,0.001,0.053466059267520905,0.0903895981768986,6.9763176977423555e-09
47,64,3,0.0001,0.05838646739721298,0.09026564374939336,7.3153912367501534e-09
48,64,5,0.1,,,
49,64,5,0.01,0.04560713842511177,0.1824586787823962,5.874083694439347e-32
50,64,5,0.001,0.04986503720283508,0.02113865541570076,0.17644384074318165
51,64,5,0.0001,0.05342474579811096,-0.05020522619244566,0.0013171479536596452
52,64,7,0.1,,,
53,64,7,0.01,0.04535401239991188,0.21320668752509078,2.863594647713614e-43
54,64,7,0.001,0.05307227745652199,-0.11583243319013029,1.0736343515948266e-13
55,64,7,0.0001,0.05684816092252731,-0.016596192167950306,0.2885733452476236
56,64,9,0.1,,,
57,64,9,0.01,0.04462798684835434,0.20409281206613514,1.0148364746925896e-39
58,64,9,0.001,0.05067729204893112,0.043555994509560075,0.005330484564644437
59,64,9,0.0001,0.06581354886293411,0.05183087797748566,0.0009119600141513911
60,128,1,0.1,,,
61,128,1,0.01,0.05036952719092369,0.12066961103337183,9.62662344105874e-15
62,128,1,0.001,0.05131535232067108,0.10647109492972072,8.651421407933418e-12
63,128,1,0.0001,0.07276343554258347,-0.05802378254168209,0.00020461518855136506
64,128,3,0.1,,,
65,128,3,0.01,0.04721799120306969,0.11952633524271206,1.717424266339023e-14
66,128,3,0.001,0.05546179413795471,-0.16906056556232085,1.3087995580965086e-27
67,128,3,0.0001,0.05528634041547775,0.06343772165489922,4.899177323299903e-05
68,128,5,0.1,,,
69,128,5,0.01,0.04627743363380432,0.0686347158292966,1.1139648576927966e-05
70,128,5,0.001,0.05315976217389107,0.13749282868762044,1.0148471758953378e-18
71,128,5,0.0001,0.053567975759506226,-0.21105063333600124,2.049958153843777e-42
72,128,7,0.1,,,
73,128,7,0.01,0.045790981501340866,0.18146350106453063,1.2701856032910025e-31
74,128,7,0.001,0.05416135489940643,-0.13649729183254147,1.8042878879083186e-18
75,128,7,0.0001,0.05719314143061638,-0.2272220390630737,4.6664739978502026e-49
76,128,9,0.1,,,
77,128,9,0.01,0.04523010924458504,0.18480696812991848,9.35319888203232e-33
78,128,9,0.001,0.04900389164686203,0.01183326033354983,0.44925269732659967
79,128,9,0.0001,0.053412728011608124,-0.008339281724909603,0.5938712970355933
80,16404,1,0.1,1.6342347860336304,0.16648639584757383,8.176754191539795e-27
81,16404,1,0.01,0.06278553605079651,0.09450490529068087,1.3926022608739009e-09
82,16404,1,0.001,0.06889477372169495,0.1355855612548106,3.044803152778536e-18
83,16404,1,0.0001,0.059448257088661194,0.14879169281809362,1.097917932547045e-21
84,16404,3,0.1,0.6212408542633057,-0.15740569878400612,4.153400017705013e-24
85,16404,3,0.01,0.05862719938158989,0.07069451280935869,6.011969540167418e-06
86,16404,3,0.001,0.24642989039421082,0.18308117386218364,3.617905619254674e-32
87,16404,3,0.0001,0.06808502227067947,0.05586483810909185,0.000350406506419944
88,16404,5,0.1,5419.08544921875,-0.08988083230241665,8.473266210293528e-09
89,16404,5,0.01,0.055732954293489456,-0.01070223887324489,0.49376332523282207
90,16404,5,0.001,0.33477723598480225,-0.07067722687572525,6.043593015069937e-06
91,16404,5,0.0001,0.08416429907083511,0.012418763990334257,0.42713516696223097
92,16404,7,0.1,161177.65625,0.09337951716783376,2.178661369100472e-09
93,16404,7,0.01,0.06082356348633766,-0.23568404457093634,9.511388608454863e-53
94,16404,7,0.001,0.06020718067884445,-0.061202853958380224,8.96327923440403e-05
95,16404,7,0.0001,0.21799494326114655,0.02577896064479399,0.09922627400112993
96,16404,9,0.1,19942510.0,-0.09289618955836479,2.6361597699808828e-09
97,16404,9,0.01,0.0651085302233696,0.03529875132592814,0.023960974274656224
98,16404,9,0.001,0.12798534333705902,-0.15261410428418024,9.616972361068814e-23
99,16404,9,0.0001,0.06297692656517029,0.1704342198339396,4.8646615402313615e-28
